id,name,detail_url,updated_at
411,"""中央民族大学学报(哲学社会科学版)""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbQFarNYAqXAk17Vnu-gJiN7K18zpfQhDlC4D99qO9gpJ5cYCp1jDV__P8DIzpBOyFh_HtllHTgZkQqP3AQqboY6CFWXnKDoylAvHt3QBFyyUQ==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:03:35
412,"""出版广角""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbQ62WZC03p6JHiI9VeMG2occBUPxguOrI4zdA8b7TXiBH2xzADC7Ji72XTrWo7P34H5atH4K4sCHOcKqHo_LVD0_w0F3PyFN0OztljXhDROKQ==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:03:35
321,"""社会主义研究""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbR45k0qGK3Wv3dZeHcRc33jOVEj3WTXUWTiQRnmTZb7XleFFHJVcbcjlXFjMyHq56lLf2GlPwLjf4N_4xdSAleRh9OO6rNGquRDeDOpjN48iQ==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:03:19
406,"""图书馆理论与实践""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbS9yE76v7idZbOxFE20h7UTsw7WbPMjxu11bktNDySJ_oXxU7CxuwtX9fKp_x4iKX1MVhElgbjkysH7n_TJmXBbvqIoQ21Zt4tMW7AT6h2sWg==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:01:25
407,"""中国音乐""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbTBlEigAHCIXUpjJgeLcKds2FDbyd6MbebPrz9QB-9EjJSf8kQ2OJ076WalTcOhnpou5K0BUxb3Kn3OI93p7O88XpH47r41LgZQaFppZRURcA==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:01:25
289,"""理论探讨""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbT-Dy-nQjLdkPGSm-eF37n8EPIsa37cXc0iHaOnq8O6kMeMc5lR8ex4sYTWQ_Tyx0GeyZ8Rvs1Ae3uqDa3gZdRO6MSCFqW_tIwLt15VeL9q4Q==&uniplatform=NZKPT&language=CHS""",2026-03-24 13:01:24
28,"""世界经济""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbRJG4SSulEthcheG2UbZOFF1EuOcsFbrYAusy-9HiAWwfrML4waDBTiEfIh-8y32ACTqzpl4dfRPTOwGv7McQR7DAj079nr2zuJHjBWRLpfmw==&uniplatform=NZKPT&language=CHS""",2026-03-24 12:33:12
160,"""数学教育学报""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbRnuHd9AKODIDPT1J-lyI4vwMYJrERqM1-jLk2Yq9yjsedXgBmoU9Q7ntcL9adxCs0QThmJo7nnDku8qFeLJ3Pl2UDqc8QTR_2N3ZFzEd0bbg==&uniplatform=NZKPT&language=CHS""",2026-03-24 12:30:40
12,"""中国人口·资源与环境""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbSbzySrO9htG8JKNVMKulDF0vYLJIcjod0J2Z7yTd5o6e65Mo3aLcelKRdyQ5gJYpaO7joSnCbLSxdRNeEzu8KAbDkOFKsGIM9qBkWNh-0A0A==&uniplatform=NZKPT&language=CHS""",2026-03-24 12:30:40
6786,"""21世纪中学生作文(初中教师适用)""","""https://navi.cnki.net/knavi/detail?p=mK1ZVKSnEbQkJEUAL0o_TcbIq_KwTDI3v3DuPEZXVGYWeZKr_I9kYcYXMmIcP_SrtFF74FPaezXk9qV8kOLB2ZRLPQAjG0eVQdcIfOIwjKZI8VgMUwa2ZQ==&uniplatform=NZKPT&language=CHS""",2026-03-24 09:24:49
